"jurisdiction","age_group","year","population"
"Louisiana","75-84",2012,183658
"Louisiana","75-84",2013,185757
"Louisiana","75-84",2014,188418
"Louisiana","75-84",2015,191801
"Louisiana","75-84",2016,196190
"Louisiana","75-84",2017,201340
"Louisiana","75-84",2018,209481
"Louisiana","75-84",2019,216711
"Louisiana","75-84",2020,212525
"Louisiana","75-84",2021,216146
"Louisiana","75-84",2022,219377
"Louisiana","75-84",2023,222609
"Louisiana","85+",2010,66386
"Louisiana","85+",2011,68560
"Louisiana","85+",2012,70839
"Louisiana","85+",2013,72495
"Louisiana","85+",2014,74399
"Louisiana","85+",2015,76438
"Louisiana","85+",2016,78589
"Louisiana","85+",2017,79975
"Louisiana","85+",2018,81169
"Louisiana","85+",2019,82235
"Louisiana","85+",2020,74846
"Louisiana","85+",2021,74255
"Louisiana","85+",2022,74970
"Louisiana","85+",2023,75686
"Maine","all",2010,1325014
"Maine","all",2011,1327030
"Maine","all",2012,1326780
"Maine","all",2013,1327126
"Maine","all",2014,1329824
"Maine","all",2015,1327956
"Maine","all",2016,1330863
"Maine","all",2017,1334461
"Maine","all",2018,1338754
"Maine","all",2019,1344401
"Maine","all",2020,1361428
"Maine","all",2021,1371481
"Maine","all",2022,1375705
"Maine","all",2023,1379930
"Maine","0-24",2010,388760
"Maine","0-24",2011,385418
"Maine","0-24",2012,381250
"Maine","0-24",2013,376978
"Maine","0-24",2014,373518
"Maine","0-24",2015,368508
"Maine","0-24",2016,365243
"Maine","0-24",2017,361382
"Maine","0-24",2018,358419
"Maine","0-24",2019,356370
"Maine","0-24",2020,360349
"Maine","0-24",2021,358814
"Maine","0-24",2022,356092
"Maine","0-24",2023,353369
"Maine","25-44",2010,313035
"Maine","25-44",2011,311070
"Maine","25-44",2012,308303
"Maine","25-44",2013,307100
"Maine","25-44",2014,307288
"Maine","25-44",2015,306065
"Maine","25-44",2016,306404
"Maine","25-44",2017,308918
"Maine","25-44",2018,312105
"Maine","25-44",2019,316610
"Maine","25-44",2020,323450
"Maine","25-44",2021,331380
"Maine","25-44",2022,333048
"Maine","25-44",2023,334715
"Maine","45-64",2010,411254
"Maine","45-64",2011,414541
"Maine","45-64",2012,411178
"Maine","45-64",2013,408273
"Maine","45-64",2014,405737
"Maine","45-64",2015,403164
"Maine","45-64",2016,400790
"Maine","45-64",2017,397343
"Maine","45-64",2018,391863
"Maine","45-64",2019,386220
"Maine","45-64",2020,388775
"Maine","45-64",2021,384122
"Maine","45-64",2022,381655
"Maine","45-64",2023,379189
"Maine","65-74",2010,113299
"Maine","65-74",2011,116411
"Maine","65-74",2012,125296
"Maine","65-74",2013,132707
"Maine","65-74",2014,139840
"Maine","65-74",2015,146084
"Maine","65-74",2016,152293
"Maine","65-74",2017,158322
"Maine","65-74",2018,163482
"Maine","65-74",2019,169149
"Maine","65-74",2020,176421
"Maine","65-74",2021,183139
"Maine","65-74",2022,189488
"Maine","65-74",2023,195837
"Maine","75-84",2010,69318
"Maine","75-84",2011,69578
"Maine","75-84",2012,69867
"Maine","75-84",2013,70474
"Maine","75-84",2014,71275
"Maine","75-84",2015,71820
"Maine","75-84",2016,73214
"Maine","75-84",2017,75294
"Maine","75-84",2018,79186
"Maine","75-84",2019,82347
"Maine","75-84",2020,81948
"Maine","75-84",2021,84057
"Maine","75-84",2022,85397
"Maine","75-84",2023,86737
"Maine","85+",2010,29348
"Maine","85+",2011,30012
"Maine","85+",2012,30886
"Maine","85+",2013,31594
"Maine","85+",2014,32166
"Maine","85+",2015,32315
"Maine","85+",2016,32919
"Maine","85+",2017,33202
"Maine","85+",2018,33699
"Maine","85+",2019,33705
"Maine","85+",2020,30485
"Maine","85+",2021,29969
"Maine","85+",2022,30025
"Maine","85+",2023,30082
"Maryland","all",2010,5760275
"Maryland","all",2011,5811420
"Maryland","all",2012,5860550
"Maryland","all",2013,5896362
"Maryland","all",2014,5930388
"Maryland","all",2015,5958369
"Maryland","all",2016,5970795
"Maryland","all",2017,5991933
"Maryland","all",2018,6006597
"Maryland","all",2019,6019398
"Maryland","all",2020,6141212
"Maryland","all",2021,6133555
"Maryland","all",2022,6167490
"Maryland","all",2023,6201424
"Maryland","0-24",2010,1904550
"Maryland","0-24",2011,1908726
"Maryland","0-24",2012,1906377
"Maryland","0-24",2013,1902472
"Maryland","0-24",2014,1900510
"Maryland","0-24",2015,1891800
"Maryland","0-24",2016,1881519
"Maryland","0-24",2017,1874228
"Maryland","0-24",2018,1865112
"Maryland","0-24",2019,1858365
"Maryland","0-24",2020,1898545
"Maryland","0-24",2021,1885014
"Maryland","0-24",2022,1883238
"Maryland","0-24",2023,1881462
"Maryland","25-44",2010,1541922
"Maryland","25-44",2011,1546552
"Maryland","25-44",2012,1557702
"Maryland","25-44",2013,1563573
"Maryland","25-44",2014,1567210
"Maryland","25-44",2015,1571449
"Maryland","25-44",2016,1567273
"Maryland","25-44",2017,1573952
"Maryland","25-44",2018,1582754
"Maryland","25-44",2019,1590750
"Maryland","25-44",2020,1625112
"Maryland","25-44",2021,1627738
"Maryland","25-44",2022,1635539
"Maryland","25-44",2023,1643341
"Maryland","45-64",2010,1601856
"Maryland","45-64",2011,1626421
"Maryland","45-64",2012,1631938
"Maryland","45-64",2013,1637154
"Maryland","45-64",2014,1640797
"Maryland","45-64",2015,1646634
"Maryland","45-64",2016,1645851
"Maryland","45-64",2017,1640963
"Maryland","45-64",2018,1627222
"Maryland","45-64",2019,1610032
"Maryland","45-64",2020,1639578
"Maryland","45-64",2021,1617646
"Maryland","45-64",2022,1619081
"Maryland","45-64",2023,1620517
"Maryland","65-74",2010,389472
"Maryland","65-74",2011,403006
"Maryland","65-74",2012,432708
"Maryland","65-74",2013,456134
"Maryland","65-74",2014,477594
"Maryland","65-74",2015,497387
"Maryland","65-74",2016,516060
"Maryland","65-74",2017,531913
"Maryland","65-74",2018,545679
"Maryland","65-74",2019,562206
"Maryland","65-74",2020,586903
"Maryland","65-74",2021,604486
"Maryland","65-74",2022,624033
"Maryland","65-74",2023,643579
"Maryland","75-84",2010,223373
"Maryland","75-84",2011,224413
"Maryland","75-84",2012,226345
"Maryland","75-84",2013,229341
"Maryland","75-84",2014,234122
"Maryland","75-84",2015,238719
"Maryland","75-84",2016,245233
"Maryland","75-84",2017,254423
"Maryland","75-84",2018,267653
"Maryland","75-84",2019,278904
"Maryland","75-84",2020,280893
"Maryland","75-84",2021,289158
"Maryland","75-84",2022,295138
"Maryland","75-84",2023,301119
"Maryland","85+",2010,99102
"Maryland","85+",2011,102302
"Maryland","85+",2012,105480
"Maryland","85+",2013,107688
"Maryland","85+",2014,110155
"Maryland","85+",2015,112380
"Maryland","85+",2016,114859
"Maryland","85+",2017,116454
"Maryland","85+",2018,118177
"Maryland","85+",2019,119141
"Maryland","85+",2020,110181
"Maryland","85+",2021,109513
"Maryland","85+",2022,110459
"Maryland","85+",2023,111406
"Massachusetts","all",2010,6559168
"Massachusetts","all",2011,6606731
"Massachusetts","all",2012,6658267
"Massachusetts","all",2013,6709392
"Massachusetts","all",2014,6759247
"Massachusetts","all",2015,6792506
"Massachusetts","all",2016,6822216
"Massachusetts","all",2017,6858510
"Massachusetts","all",2018,6880790
"Massachusetts","all",2019,6889950
"Massachusetts","all",2020,7018498
"Massachusetts","all",2021,6981204
"Massachusetts","all",2022,7019571
"Massachusetts","all",2023,7057938
"Massachusetts","0-24",2010,2101254
"Massachusetts","0-24",2011,2100334
"Massachusetts","0-24",2012,2097182
"Massachusetts","0-24",2013,2096099
"Massachusetts","0-24",2014,2094711
"Massachusetts","0-24",2015,2086851
"Massachusetts","0-24",2016,2080145
"Massachusetts","0-24",2017,2074885
"Massachusetts","0-24",2018,2062491
"Massachusetts","0-24",2019,2045266
"Massachusetts","0-24",2020,2078826
"Massachusetts","0-24",2021,2047403
"Massachusetts","0-24",2022,2042507
"Massachusetts","0-24",2023,2037612
"Massachusetts","25-44",2010,1728904
"Massachusetts","25-44",2011,1734368
"Massachusetts","25-44",2012,1746549
"Massachusetts","25-44",2013,1759573
"Massachusetts","25-44",2014,1771905
"Massachusetts","25-44",2015,1778769
"Massachusetts","25-44",2016,1786293
"Massachusetts","25-44",2017,1805485
"Massachusetts","25-44",2018,1824274
"Massachusetts","25-44",2019,1840826
"Massachusetts","25-44",2020,1884019
"Massachusetts","25-44",2021,1878768
"Massachusetts","25-44",2022,1892392
"Massachusetts","25-44",2023,1906016
"Massachusetts","45-64",2010,1822431
"Massachusetts","45-64",2011,1850034
"Massachusetts","45-64",2012,1855076
"Massachusetts","45-64",2013,1863467
"Massachusetts","45-64",2014,1871937
"Massachusetts","45-64",2015,1878490
"Massachusetts","45-64",2016,1878753
"Massachusetts","45-64",2017,1872477
"Massachusetts","45-64",2018,1857607
"Massachusetts","45-64",2019,1836094
"Massachusetts","45-64",2020,1868948
"Massachusetts","45-64",2021,1840340
"Massachusetts","45-64",2022,1841968
"Massachusetts","45-64",2023,1843596
"Massachusetts","65-74",2010,459849
"Massachusetts","65-74",2011,474631
"Massachusetts","65-74",2012,509814
"Massachusetts","65-74",2013,538242
"Massachusetts","65-74",2014,565255
"Massachusetts","65-74",2015,590390
"Massachusetts","65-74",2016,614095
"Massachusetts","65-74",2017,635483
"Massachusetts","65-74",2018,652346
"Massachusetts","65-74",2019,672886
"Massachusetts","65-74",2020,704461
"Massachusetts","65-74",2021,726907
"Massachusetts","65-74",2022,751185
"Massachusetts","65-74",2023,775463
"Massachusetts","75-84",2010,300330
"Massachusetts","75-84",2011,297848
"Massachusetts","75-84",2012,296494
"Massachusetts","75-84",2013,296373
"Massachusetts","75-84",2014,297781
"Massachusetts","75-84",2015,299415
"Massachusetts","75-84",2016,303440
"Massachusetts","75-84",2017,310742
"Massachusetts","75-84",2018,325075
"Massachusetts","75-84",2019,336369
"Massachusetts","75-84",2020,337577
"Massachusetts","75-84",2021,346225
"Massachusetts","75-84",2022,350397
"Massachusetts","75-84",2023,354570
"Massachusetts","85+",2010,146400
"Massachusetts","85+",2011,149516
"Massachusetts","85+",2012,153152
"Massachusetts","85+",2013,155638
"Massachusetts","85+",2014,157658
"Massachusetts","85+",2015,158591
"Massachusetts","85+",2016,159490
"Massachusetts","85+",2017,159438
"Massachusetts","85+",2018,158997
"Massachusetts","85+",2019,158509
"Massachusetts","85+",2020,144667
"Massachusetts","85+",2021,141561
"Massachusetts","85+",2022,141121
"Massachusetts","85+",2023,140681
"Michigan","all",2010,9872083
"Michigan","all",2011,9877159
"Michigan","all",2012,9892619
"Michigan","all",2013,9910445
"Michigan","all",2014,9927826
"Michigan","all",2015,9930297
"Michigan","all",2016,9950127
"Michigan","all",2017,9972985
"Michigan","all",2018,9983577
"Michigan","all",2019,9981086
"Michigan","all",2020,10065507
"Michigan","all",2021,10048663
"Michigan","all",2022,10064716
"Michigan","all",2023,10080768
"Michigan","0-24",2010,3309715
"Michigan","0-24",2011,3294334
"Michigan","0-24",2012,3283417
"Michigan","0-24",2013,3269187
"Michigan","0-24",2014,3249293
"Michigan","0-24",2015,3213989
"Michigan","0-24",2016,3182118
"Michigan","0-24",2017,3154747
"Michigan","0-24",2018,3123625
"Michigan","0-24",2019,3089145
"Michigan","0-24",2020,3111361
"Michigan","0-24",2021,3082708
"Michigan","0-24",2022,3062071
"Michigan","0-24",2023,3041434
"Michigan","25-44",2010,2429695
"Michigan","25-44",2011,2405429
"Michigan","25-44",2012,2390467
"Michigan","25-44",2013,2386710
"Michigan","25-44",2014,2387988
"Michigan","25-44",2015,2391973
"Michigan","25-44",2016,2407693
"Michigan","25-44",2017,2430877
"Michigan","25-44",2018,2454861
"Michigan","25-44",2019,2475402
"Michigan","25-44",2020,2508072
"Michigan","25-44",2021,2523538
"Michigan","25-44",2022,2532069
"Michigan","25-44",2023,2540600
"Michigan","45-64",2010,2766399
"Michigan","45-64",2011,2788758
"Michigan","45-64",2012,2775585
"Michigan","45-64",2013,2766854
"Michigan","45-64",2014,2759158
"Michigan","45-64",2015,2752409
"Michigan","45-64",2016,2742635
"Michigan","45-64",2017,2722713
"Michigan","45-64",2018,2692653
"Michigan","45-64",2019,2653348
"Michigan","45-64",2020,2665069
"Michigan","45-64",2021,2619635
"Michigan","45-64",2022,2606293
"Michigan","45-64",2023,2592951
"Michigan","65-74",2010,728481
"Michigan","65-74",2011,746781
"Michigan","65-74",2012,797420
"Michigan","65-74",2013,836619
"Michigan","65-74",2014,873810
"Michigan","65-74",2015,909336
"Michigan","65-74",2016,945507
"Michigan","65-74",2017,978054
"Michigan","65-74",2018,1004138
"Michigan","65-74",2019,1037854
"Michigan","65-74",2020,1081289
"Michigan","65-74",2021,1118078
"Michigan","65-74",2022,1153496
"Michigan","65-74",2023,1188914
"Michigan","75-84",2010,444434
"Michigan","75-84",2011,443589
"Michigan","75-84",2012,442394
"Michigan","75-84",2013,444168
"Michigan","75-84",2014,447880
"Michigan","75-84",2015,451022
"Michigan","75-84",2016,458928
"Michigan","75-84",2017,473581
"Michigan","75-84",2018,496420
"Michigan","75-84",2019,513780
"Michigan","75-84",2020,508068
"Michigan","75-84",2021,517196
"Michigan","75-84",2022,523811
"Michigan","75-84",2023,530425
"Michigan","85+",2010,193359
"Michigan","85+",2011,198268
"Michigan","85+",2012,203336
"Michigan","85+",2013,206907
"Michigan","85+",2014,209697
"Michigan","85+",2015,211568
"Michigan","85+",2016,213246
"Michigan","85+",2017,213013
"Michigan","85+",2018,211880
"Michigan","85+",2019,211557
"Michigan","85+",2020,191648
"Michigan","85+",2021,187508
"Michigan","85+",2022,186976
"Michigan","85+",2023,186444
"Minnesota","all",2010,5306797
"Minnesota","all",2011,5341636
"Minnesota","all",2012,5374722
"Minnesota","all",2013,5412163
"Minnesota","all",2014,5449837
"Minnesota","all",2015,5481810
"Minnesota","all",2016,5523069
"Minnesota","all",2017,5567276
"Minnesota","all",2018,5606626
"Minnesota","all",2019,5637917
"Minnesota","all",2020,5706476
"Minnesota","all",2021,5706701
"Minnesota","all",2022,5743056
"Minnesota","all",2023,5779411
"Minnesota","0-24",2010,1785567
"Minnesota","0-24",2011,1784698
"Minnesota","0-24",2012,1783791
"Minnesota","0-24",2013,1786494
"Minnesota","0-24",2014,1791745
"Minnesota","0-24",2015,1793273
"Minnesota","0-24",2016,1799998
"Minnesota","0-24",2017,1802764
"Minnesota","0-24",2018,1802699
"Minnesota","0-24",2019,1800608
"Minnesota","0-24",2020,1825572
"Minnesota","0-24",2021,1814987
"Minnesota","0-24",2022,1817662
"Minnesota","0-24",2023,1820336
"Minnesota","25-44",2010,1393188
"Minnesota","25-44",2011,1396069
"Minnesota","25-44",2012,1401113
"Minnesota","25-44",2013,1408438
"Minnesota","25-44",2014,1413836
"Minnesota","25-44",2015,1418220
"Minnesota","25-44",2016,1426553
"Minnesota","25-44",2017,1447653
"Minnesota","25-44",2018,1469731
"Minnesota","25-44",2019,1488429
"Minnesota","25-44",2020,1510606
"Minnesota","25-44",2021,1514919
"Minnesota","25-44",2022,1525985
"Minnesota","25-44",2023,1537052
"Minnesota","45-64",2010,1441710
"Minnesota","45-64",2011,1461754
"Minnesota","45-64",2012,1461707
"Minnesota","45-64",2013,1464389
"Minnesota","45-64",2014,1466596
"Minnesota","45-64",2015,1468133
"Minnesota","45-64",2016,1466615
"Minnesota","45-64",2017,1458205
"Minnesota","45-64",2018,1445456
"Minnesota","45-64",2019,1429568
"Minnesota","45-64",2020,1440259
"Minnesota","45-64",2021,1421112
"Minnesota","45-64",2022,1419239
"Minnesota","45-64",2023,1417367
"Minnesota","65-74",2010,356728
"Minnesota","65-74",2011,366422
"Minnesota","65-74",2012,390971
"Minnesota","65-74",2013,411251
"Minnesota","65-74",2014,430612
"Minnesota","65-74",2015,450380
"Minnesota","65-74",2016,471445
"Minnesota","65-74",2017,492357
"Minnesota","65-74",2018,510468
"Minnesota","65-74",2019,531127
"Minnesota","65-74",2020,554953
"Minnesota","65-74",2021,577187
"Minnesota","65-74",2022,597229
"Minnesota","65-74",2023,617270
"Minnesota","75-84",2010,222136
"Minnesota","75-84",2011,223096
"Minnesota","75-84",2012,224714
"Minnesota","75-84",2013,226923
"Minnesota","75-84",2014,230487
"Minnesota","75-84",2015,233919
"Minnesota","75-84",2016,239029
"Minnesota","75-84",2017,245703
"Minnesota","75-84",2018,256804
"Minnesota","75-84",2019,266010
"Minnesota","75-84",2020,263842
"Minnesota","75-84",2021,268593
"Minnesota","75-84",2022,272816
"Minnesota","75-84",2023,277040
"Minnesota","85+",2010,107468
"Minnesota","85+",2011,109597
"Minnesota","85+",2012,112426
"Minnesota","85+",2013,114668
"Minnesota","85+",2014,116561
"Minnesota","85+",2015,117885
"Minnesota","85+",2016,119429
"Minnesota","85+",2017,120594
"Minnesota","85+",2018,121468
"Minnesota","85+",2019,122175
"Minnesota","85+",2020,111244
"Minnesota","85+",2021,109903
"Minnesota","85+",2022,110124
"Minnesota","85+",2023,110346
"Mississippi","all",2010,2954914
"Mississippi","all",2011,2962502
"Mississippi","all",2012,2967397
"Mississippi","all",2013,2973665
"Mississippi","all",2014,2976728
"Mississippi","all",2015,2975416
"Mississippi","all",2016,2976970
"Mississippi","all",2017,2976864
"Mississippi","all",2018,2968174
"Mississippi","all",2019,2963524
"Mississippi","all",2020,2944641
"Mississippi","all",2021,2937477
"Mississippi","all",2022,2935892
"Mississippi","all",2023,2934307
"Mississippi","0-24",2010,1053556
"Mississippi","0-24",2011,1051126
"Mississippi","0-24",2012,1047943
"Mississippi","0-24",2013,1045017
"Mississippi","0-24",2014,1037562
"Mississippi","0-24",2015,1026791
"Mississippi","0-24",2016,1015354
"Mississippi","0-24",2017,1004365
"Mississippi","0-24",2018,989287
"Mississippi","0-24",2019,978736
"Mississippi","0-24",2020,972667
"Mississippi","0-24",2021,965669
"Mississippi","0-24",2022,957679
"Mississippi","0-24",2023,949690
"Mississippi","25-44",2010,754163
"Mississippi","25-44",2011,752090
"Mississippi","25-44",2012,750582
"Mississippi","25-44",2013,750554
"Mississippi","25-44",2014,751541
"Mississippi","25-44",2015,750336
"Mississippi","25-44",2016,751702
"Mississippi","25-44",2017,752402
"Mississippi","25-44",2018,752197
"Mississippi","25-44",2019,751444
"Mississippi","25-44",2020,744010
"Mississippi","25-44",2021,741653
"Mississippi","25-44",2022,740516
"Mississippi","25-44",2023,739378
"Mississippi","45-64",2010,765065
"Mississippi","45-64",2011,770678
"Mississippi","45-64",2012,765628
"Mississippi","45-64",2013,763530
"Mississippi","45-64",2014,761323
"Mississippi","45-64",2015,760544
"Mississippi","45-64",2016,760539
"Mississippi","45-64",2017,758847
"Mississippi","45-64",2018,753855
"Mississippi","45-64",2019,746846
"Mississippi","45-64",2020,743603
"Mississippi","45-64",2021,735911
"Mississippi","45-64",2022,733261
"Mississippi","45-64",2023,730610
"Mississippi","65-74",2010,215338
"Mississippi","65-74",2011,219162
"Mississippi","65-74",2012,231357
"Mississippi","65-74",2013,240124
"Mississippi","65-74",2014,248600
"Mississippi","65-74",2015,257164
"Mississippi","65-74",2016,265532
"Mississippi","65-74",2017,273867
"Mississippi","65-74",2018,279946
"Mississippi","65-74",2019,288769
"Mississippi","65-74",2020,295537
"Mississippi","65-74",2021,303969
"Mississippi","65-74",2022,312026
"Mississippi","65-74",2023,320084
"Mississippi","75-84",2010,122065
"Mississippi","75-84",2011,123579
"Mississippi","75-84",2012,124568
"Mississippi","75-84",2013,126287
"Mississippi","75-84",2014,128488
"Mississippi","75-84",2015,130420
"Mississippi","75-84",2016,132813
"Mississippi","75-84",2017,135845
"Mississippi","75-84",2018,140849
"Mississippi","75-84",2019,145320
"Mississippi","75-84",2020,141151
"Mississippi","75-84",2021,142839
"Mississippi","75-84",2022,144728
"Mississippi","75-84",2023,146616
"Mississippi","85+",2010,44727
"Mississippi","85+",2011,45867
"Mississippi","85+",2012,47319
"Mississippi","85+",2013,48153
"Mississippi","85+",2014,49214
"Mississippi","85+",2015,50161
"Mississippi","85+",2016,51030
"Mississippi","85+",2017,51538
"Mississippi","85+",2018,52040
"Mississippi","85+",2019,52409
"Mississippi","85+",2020,47673
"Mississippi","85+",2021,47436
"Mississippi","85+",2022,47682
"Mississippi","85+",2023,47929
"Missouri","all",2010,5975814
"Missouri","all",2011,5991669
"Missouri","all",2012,6007500
"Missouri","all",2013,6023011
"Missouri","all",2014,6041311
"Missouri","all",2015,6059878
"Missouri","all",2016,6075498
"Missouri","all",2017,6094507
"Missouri","all",2018,6107071
"Missouri","all",2019,6121561
"Missouri","all",2020,6138038
"Missouri","all",2021,6153280
"Missouri","all",2022,6169413
"Missouri","all",2023,6185547
"Missouri","0-24",2010,2005822
"Missouri","0-24",2011,1998311
"Missouri","0-24",2012,1993478
"Missouri","0-24",2013,1986534
"Missouri","0-24",2014,1980264
"Missouri","0-24",2015,1971907
"Missouri","0-24",2016,1958748
"Missouri","0-24",2017,1946738
"Missouri","0-24",2018,1935490
"Missouri","0-24",2019,1927279
"Missouri","0-24",2020,1938679
"Missouri","0-24",2021,1935886
"Missouri","0-24",2022,1929528
"Missouri","0-24",2023,1923170
"Missouri","25-44",2010,1513811
"Missouri","25-44",2011,1514392
"Missouri","25-44",2012,1513675
"Missouri","25-44",2013,1517167
"Missouri","25-44",2014,1521840
"Missouri","25-44",2015,1527450
"Missouri","25-44",2016,1533250
"Missouri","25-44",2017,1547377
"Missouri","25-44",2018,1559447
"Missouri","25-44",2019,1570836
"Missouri","25-44",2020,1577604
"Missouri","25-44",2021,1589327
"Missouri","25-44",2022,1596192
"Missouri","25-44",2023,1603057
"Missouri","45-64",2010,1614899
"Missouri","45-64",2011,1626117
"Missouri","45-64",2012,1616947
"Missouri","45-64",2013,1611149
"Missouri","45-64",2014,1606407
"Missouri","45-64",2015,1604823
"Missouri","45-64",2016,1602431
"Missouri","45-64",2017,1593988
"Missouri","45-64",2018,1579836
"Missouri","45-64",2019,1561762
"Missouri","45-64",2020,1562223
"Missouri","45-64",2021,1544300
"Missouri","45-64",2022,1537882
"Missouri","45-64",2023,1531464
"Missouri","65-74",2010,452348
"Missouri","65-74",2011,460337
"Missouri","65-74",2012,487021
"Missouri","65-74",2013,507020
"Missouri","65-74",2014,525737
"Missouri","65-74",2015,543635
"Missouri","65-74",2016,561561
"Missouri","65-74",2017,578319
"Missouri","65-74",2018,591540
"Missouri","65-74",2019,609812
"Missouri","65-74",2020,628098
"Missouri","65-74",2021,649461
"Missouri","65-74",2022,667380
"Missouri","65-74",2023,685300
"Missouri","75-84",2010,274343
"Missouri","75-84",2011,275418
"Missouri","75-84",2012,276023
"Missouri","75-84",2013,278417
"Missouri","75-84",2014,281789
"Missouri","75-84",2015,284862
"Missouri","75-84",2016,290272
"Missouri","75-84",2017,297015
"Missouri","75-84",2018,308389
"Missouri","75-84",2019,318149
"Missouri","75-84",2020,310932
"Missouri","75-84",2021,315255
"Missouri","75-84",2022,318974
"Missouri","75-84",2023,322694
"Missouri","85+",2010,114591
"Missouri","85+",2011,117094
"Missouri","85+",2012,120356
"Missouri","85+",2013,122724
"Missouri","85+",2014,125274
"Missouri","85+",2015,127201
"Missouri","85+",2016,129236
"Missouri","85+",2017,131070
"Missouri","85+",2018,132369
"Missouri","85+",2019,133723
"Missouri","85+",2020,120502
"Missouri","85+",2021,119051
"Missouri","85+",2022,119456
"Missouri","85+",2023,119862
"Montana","all",2010,987015
"Montana","all",2011,993205
"Montana","all",2012,1000127
"Montana","all",2013,1010249
"Montana","all",2014,1018828
"Montana","all",2015,1027782
"Montana","all",2016,1038452
"Montana","all",2017,1050256
"Montana","all",2018,1058256
"Montana","all",2019,1066562
"Montana","all",2020,1082918
"Montana","all",2021,1101000
"Montana","all",2022,1111362
"Montana","all",2023,1121725
"Montana","0-24",2010,316984
"Montana","0-24",2011,318458
"Montana","0-24",2012,319878
"Montana","0-24",2013,322940
"Montana","0-24",2014,324505
"Montana","0-24",2015,325430
"Montana","0-24",2016,326755
"Montana","0-24",2017,327300
"Montana","0-24",2018,326044
"Montana","0-24",2019,325520
"Montana","0-24",2020,330697
"Montana","0-24",2021,333505
"Montana","0-24",2022,335007
"Montana","0-24",2023,336509
"Montana","25-44",2010,234038
"Montana","25-44",2011,235068
"Montana","25-44",2012,236960
"Montana","25-44",2013,240451
"Montana","25-44",2014,243393
"Montana","25-44",2015,246948
"Montana","25-44",2016,250950
"Montana","25-44",2017,257490
"Montana","25-44",2018,262465
"Montana","25-44",2019,267332
"Montana","25-44",2020,273578
"Montana","25-44",2021,282102
"Montana","25-44",2022,286471
"Montana","25-44",2023,290841
"Montana","45-64",2010,288549
"Montana","45-64",2011,289163
"Montana","45-64",2012,285875
"Montana","45-64",2013,283477
"Montana","45-64",2014,281285
"Montana","45-64",2015,279292
"Montana","45-64",2016,277510
"Montana","45-64",2017,274948
"Montana","45-64",2018,271567
"Montana","45-64",2019,267850
"Montana","45-64",2020,269558
"Montana","45-64",2021,268970
"Montana","45-64",2022,267190
"Montana","45-64",2023,265410
"Montana","65-74",2010,81281
"Montana","65-74",2011,83585
"Montana","65-74",2012,89284
"Montana","65-74",2013,94154
"Montana","65-74",2014,99205
"Montana","65-74",2015,104178
"Montana","65-74",2016,109370
"Montana","65-74",2017,114780
"Montana","65-74",2018,119264
"Montana","65-74",2019,124312
"Montana","65-74",2020,129802
"Montana","65-74",2021,135439
"Montana","65-74",2022,140362
"Montana","65-74",2023,145286
"Montana","75-84",2010,46043
"Montana","75-84",2011,46468
"Montana","75-84",2012,47184
"Montana","75-84",2013,47847
"Montana","75-84",2014,48615
"Montana","75-84",2015,49624
"Montana","75-84",2016,51331
"Montana","75-84",2017,53173
"Montana","75-84",2018,56160
"Montana","75-84",2019,58592
"Montana","75-84",2020,58451
"Montana","75-84",2021,60197
"Montana","75-84",2022,61484
"Montana","75-84",2023,62770
"Montana","85+",2010,20120
"Montana","85+",2011,20463
"Montana","85+",2012,20946
"Montana","85+",2013,21380
"Montana","85+",2014,21825
"Montana","85+",2015,22310
"Montana","85+",2016,22536
"Montana","85+",2017,22565
"Montana","85+",2018,22756
"Montana","85+",2019,22956
"Montana","85+",2020,20832
"Montana","85+",2021,20787
"Montana","85+",2022,20848
"Montana","85+",2023,20908
"Nebraska","all",2010,1822645
"Nebraska","all",2011,1833395
"Nebraska","all",2012,1847181
"Nebraska","all",2013,1859239
"Nebraska","all",2014,1873230
"Nebraska","all",2015,1885516
"Nebraska","all",2016,1899806
"Nebraska","all",2017,1910328
"Nebraska","all",2018,1918904
"Nebraska","all",2019,1925965
"Nebraska","all",2020,1955374
"Nebraska","all",2021,1957634
"Nebraska","all",2022,1969906
"Nebraska","all",2023,1982177
"Nebraska","0-24",2010,640402
"Nebraska","0-24",2011,642703
"Nebraska","0-24",2012,646810
"Nebraska","0-24",2013,650562
"Nebraska","0-24",2014,656005
"Nebraska","0-24",2015,660331
"Nebraska","0-24",2016,664240
"Nebraska","0-24",2017,664664
"Nebraska","0-24",2018,664729
"Nebraska","0-24",2019,663248
"Nebraska","0-24",2020,675678
"Nebraska","0-24",2021,672913
"Nebraska","0-24",2022,675869
"Nebraska","0-24",2023,678824
"Nebraska","25-44",2010,462405
"Nebraska","25-44",2011,464633
"Nebraska","25-44",2012,468066
"Nebraska","25-44",2013,471483
"Nebraska","25-44",2014,474002
"Nebraska","25-44",2015,475894
"Nebraska","25-44",2016,479900
"Nebraska","25-44",2017,485276
"Nebraska","25-44",2018,490320
"Nebraska","25-44",2019,494135
"Nebraska","25-44",2020,502325
"Nebraska","25-44",2021,504454
"Nebraska","25-44",2022,508277
"Nebraska","25-44",2023,512099
"Nebraska","45-64",2010,472532
"Nebraska","45-64",2011,476728
"Nebraska","45-64",2012,474916
"Nebraska","45-64",2013,473782
"Nebraska","45-64",2014,472363
"Nebraska","45-64",2015,471149
